brand,product_code,model_number,source,status,advertised_price,list_price,availability,seller_name_raw,fetch_method,model_match,observed_at,html_sha256,screenshot_sha256,error,url
LG,LG-P06,27GX704A-B,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:34:17.706Z,21bec5dd7d7fc62ce4e657bf963ff056ad6d8e9ecf2e02bb0d1bcfde28a2ecdc,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0FNQ4B2Z2
LG,LG-P06,27GX704A-B,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:38:29.381Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-ultragear-27-qhd-glossy-oled-240hz-gaming-monitor-0-03ms-nvidia-g-sync-amd-freesync-premium-pro-displayhdr-trueblack400-black/JJ8VPZK94J/sku/11972434
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-ultragear-27-qhd-glossy-oled-240hz-gaming-monitor-0-03ms-nvidia-g-sync-amd-freesync-premium-pro-displayhdr-trueblack400-black/JJ8VPZK94J/sku/11972434"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-ultragear-27-qhd-glossy-oled-240hz-gaming-monitor-0-03ms-nvidia-g-sync-amd-freesync-premium-pro-displayhdr-trueblack400-black/JJ8VPZK94J/sku/11972434
LG,LG-P06,27GX704A-B,walmart_us,ok,399.99,499.99,in_stock,Electronic Express,http,true,2026-09-23T10:30:25.603Z,6098cc758073696d20633576be444281483e896f004f0ae3c75db7ab5ee2d718,05ec44f24419d5eb8ceed8e1b30563f47a80915f3cdd6ef844ae9cd36edee29e,,https://www.walmart.com/ip/17620862962
LG,LG-P07,WM4000HWA,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:34:55.734Z,bbee6495f11303fd914abf65ae739e52d730135f2b05cdf76d93beca88446066,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200 (captcha), no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0B1LPV6Z5
LG,LG-P07,WM4000HWA,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:39:15.162Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-4-5-cu-ft-high-efficiency-stackable-smart-front-load-washer-with-steam-and-built-in-intelligence-white/J7G564PZ86/sku/6419621
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-4-5-cu-ft-high-efficiency-stackable-smart-front-load-washer-with-steam-and-built-in-intelligence-white/J7G564PZ86/sku/6419621"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-4-5-cu-ft-high-efficiency-stackable-smart-front-load-washer-with-steam-and-built-in-intelligence-white/J7G564PZ86/sku/6419621
LG,LG-P07,WM4000HWA,walmart_us,partial,947,,unknown,Locust Apl,http,true,2026-09-23T10:30:42.500Z,2d3ed5c1e02062a6cc507075b8fc6beae28b41ea679fc8df88122d03c2d59d98,b6243bf10627a5a0a9c851172ffabdeb31127d52dd992d6ee29039d2d8ee45ae,,https://www.walmart.com/ip/774051788
LG,LG-P08,LF21G6200S,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:35:30.688Z,435d7a80994bb4476a54641684d93a3aed227e70a2c51eac4db1d3a14a30e7a2,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200 (captcha), no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0F94WS3KW
LG,LG-P08,LF21G6200S,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:40:01.148Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-counter-depth-max-20-8-cu-ft-french-door-smart-refrigerator-with-ice-stainless-steel/JJ8VPZQS5W
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-counter-depth-max-20-8-cu-ft-french-door-smart-refrigerator-with-ice-stainless-steel/JJ8VPZQS5W"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-counter-depth-max-20-8-cu-ft-french-door-smart-refrigerator-with-ice-stainless-steel/JJ8VPZQS5W
LG,LG-P08,LF21G6200S,walmart_us,partial,1499,1762.87,unknown,Brandsmart USA,http,true,2026-09-23T10:30:59.963Z,32f8e99ff40cc551b518c901cd0d990fe8dd835314e2769e42d97df1f7c1500a,94424b3f586b955f602b90ae3f1b4282bc92702e5d8c1fcecdd03b3af1f4be2d,,https://www.walmart.com/ip/5318023297
LG,LG-P09,S90TY,amazon_us,not_found,,,unknown,,http,false,2026-09-23T10:35:49.818Z,34c92fb4c6351b94e5cc16f68bb483b0fcda57ee7c43887214005b87d1888d3a,663a2b65e226ad5fb7d500b7380f10775c21571b3517d5b53a3de941bc9a877b,,https://www.amazon.com/dp/B0FKB4VTDY
